OBJECTID,Project_Na,Promoter_N,Project_Ty,Category,Commission,Share_of_t,Location,Increment,Peak_Incre,Descriptio,Website,Shape__Length,PCI_PMI,country,,
113,Hyperlink 4 Wilhelmshaven - Emsbüren,Gasunie Deutschland Transport Services GmbH,New,Transmission,2027,100,Germany,259,259,The project shall enable the transport of hydrogen from the Energy Hub Wilhelmshaven and the norwegian CHE Pipeline to the Hyperlink Network and the German Ruhr Area. ,https://www.hyperlink-gasunie.de/en/about-hyperlink/hyperlink-4,114832.6921,PCI,DE,,
116,Baltic Sea Hydrogen Collector - Offshore Pipeline [BHC Section A: Finland - Germany],"Gasgrid Vetyverkot Oy , GASCADE Gastransport GmbH, Copenhagen Energy Islands AS ",New,Transmission,2032,100,No data available,315,330,Pipeline network accelerates the collection and transportation of H2 generated at onshore and offshore renewable energy projects around the Baltic Sea region. This infrastructure collects the immense renewable potential in the region,https://balticseahydrogencollector.com/,2234932.675,PCI,FI/DE,,
117,Portuguese Hydrogen Backbone,"REN - Gasodutos, S.A.",Conversion of existing infrastructure,Transmission,2032,100,No data available,No data available,No data available,"This project creates conditions for the production and integration of green H2, both in the Portuguese central interior region and in the region of Figueira da Foz. The Portuguese Hydrogen Backbone is linked with the H2Med/CelZa project",No data available,436938.5833,PCI,PT,,
118,HU hydrogen corridor IV  HU/SK,FGSZ Ltd.,New,Transmission,2029,100,SK/HU border-Vecses and Vecses-Varosfold,100,100,Establishing a new hydrogen corridor between Hungary and Slovakia,https://fgsz.hu/en,378627.2231,PCI,HU,,
119,H2 Backbone Murfeld,Gas Connect Austria GmbH,New,Transmission,2030,100,Murfeld Entry/Exit Point,33,33,"The project enables bidirectional h2 transport at the IP Murfeld (AT to SI, SI to AT). With the project potential h2 sources from the south (e.g. converted LNG Terminal in Krk) could be connected to demand centres in central Europe and storages",https://h2backbone-murfeld.at/en/home-english/,42184.79432,No,AT,,
121,H2Med-CelZa (Enagas) / PT,"REN - Gasodutos, S.A.",New,Transmission,2032,100,Zamora and Spain Portugal border,81,81,"The project H2Med-CelZa, linked with the development of the H2Med-BarMar project, will enable the emergence of one of the major hydrogen import corridors via the Mediterranean identified in the REPower EU through a H2 pipeline between Portugal and Spain.",https://www.enagas.es/es/transicion-energetica/red-gasista/infraestructuras-energeticas/transporte-hidrogeno/,291133.5993,PCI,PT,,
122,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",168,168,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,159251.093,PCI,IT,,
123,Retrofitting of existing Greek Transmission System,DESFA SA,Mix,Transmission,2025,10,No data available,9.967,9.967,"Following completion of detailed study aimed at analysing the capability of current gas network with all its components to handle a mixture of H2 (10% blends) blended with natural gas, retrofitting activities will be required for several elements.
",https://www.desfa.gr/en/,2150208.895,No,GR,,
124,Dedicated H2 Pipeline,DESFA SA,New,Transmission,2029,100,No data available,70,70,No data available,https://www.desfa.gr/en/,619661.5444,PCI,GR,,
126,BAL – Bayerische Anbindungsleitung,Ferngas Netzgesellschaft mbH,Mix,Transmission,2030,100,"Bavaria, Thuringia, Saxony",No data available,No data available,North-South transmission pipeline for H2,No data available,103070.2996,No,DE,,
127,EGL 401 / STEGAL,"Ferngas Netzgesellschaft mbH/
GASCADE Gastransport GmbH",Conversion of existing infrastructure,Transmission,2030,100,Thuringia,No data available,No data available,There are two parallel pipelines in this section. Which pipeline can be used most efficiently for H2 in the future will be evaluated continuously depending on the H2 market ramp-up.,No data available,47366.38395,No,DE,,
128,Transmission TH2AL 437,Ferngas Netzgesellschaft mbH,Conversion of existing infrastructure,Transmission,2027,100,Thuringia; Saxony-Anhalt,No data available,No data available,Jena – UGS Bad Lauchstädt.,https://ehb.eu/,134143.8636,No,DE,,
129,HY4Link - Luxembourg H2 infrastructure project,Creos Luxembourg S.A.,New,Transmission,2035,100,The Entry point to Luxembourg could be near Bras at the Belgian border. The routing of the pipeline could be done via the center of Luxembourg to industry cluster in the south of Luxembourg. The Exit point would be near Frisange at the French border.,58,58,"Integrated cross-border H2 transport, linking Wallonia in BE, LUX, FR and DE. Project links industrial hydrogen demand clusters in FR, DE, and LUX w/ H2 supply at North Sea coast & import hubs in Antwerp, Zeebrugge and Dunkirk.",https://www.creos-net.lu/en/individuals/projects-innovation/hy4link,102902.244,PCI,LU,,
130,Interconnected hydrogen network,Fluxys Belgium,Conversion of existing infrastructure,Transmission,2034,No data available,Alveringem-Maldegem,48,48,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,136234.657,PCI,BE,,
132,Interconnected hydrogen network,Fluxys Belgium,New,Transmission,2028,No data available,Antwerp-Eynatten,91,91,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,217297.8789,PCI,BE,,
133,Interconnected hydrogen network,Fluxys Belgium,New,Transmission,2032,No data available,Zeebrugge import,48,48,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,94328.26594,PCI,BE,,
135,Interconnected hydrogen network,Fluxys Belgium,New,Transmission,2035,No data available,Mons-Liège,24-48,24-48,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,49404.68869,PCI,BE,,
138,HY4Link - Belgium - Interconnected hydrogen network,Fluxys Belgium,Conversion of existing infrastructure,Transmission,2035,No data available,Berneau-Bras,60,60,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,144105.5563,PCI,BE,,
139,Interconnected hydrogen network,Fluxys Belgium,Conversion of existing infrastructure,Transmission,2035,No data available,Zomergem-Liège,216,216,"Fluxys has the ambition to link hydrogen import facilities in 3 terminals (Antwerp, Zeebrugge and Dunkirk) and local hydrogen production in Belgium with industrial clusters through an interconnected hydrogen backbone.",https://www.fluxys.com/en/company/fluxys-belgium,247247.693,PCI,BE,,
142,HyPipe Bavaria - The Hydrogen Hub,bayernets GmbH,Mix,Transmission,2030,No data available,"Pipeline from Burghausen via Munich, Ingolstadt to Ulm (22 km)",150,150,"The project establishes a H2 hub in Southern Bavaria. The project lays the foundation for the first high-performance pipeline system for green H2 in Bavaria until 2030, and includes existing repurposed infrastructure.",https://www.bayernets.de/en/,26800.68119,PCI,DE,,
143,HyPipe Bavaria - The Hydrogen Hub,bayernets GmbH,Conversion of existing infrastructure,Transmission,2030,No data available,"Pipeline from Burghausen via Munich, Ingolstadt to Ulm (110 km)",150,150,"The project establishes a H2 hub in Southern Bavaria. The project lays the foundation for the first high-performance pipeline system for green H2 in Bavaria until 2030, and includes existing repurposed infrastructure.",https://www.bayernets.de/en/,152375.8683,PCI,DE,,
144,HyPipe Bavaria - The Hydrogen Hub,bayernets GmbH,Conversion of existing infrastructure,Transmission,2030,No data available,"Pipeline from Burghausen via Munich, Ingolstadt to Ulm (4,4 km)",150,150,"The project establishes a H2 hub in Southern Bavaria. The project lays the foundation for the first high-performance pipeline system for green H2 in Bavaria until 2030, and includes existing repurposed infrastructure.",https://www.bayernets.de/en/,17804.12854,PCI,DE,,
146,H2ercules Network North,Open Grid Europe GmbH,Mix,Transmission,2027 - 2032,100,This project relates to the north H2ercules section from the North Sea with a connection to Wilhelmshaven and AquaDuctus along the German-Dutch border with a connection from The Netherlands to the Ruhr area.,"cross-border: 96, 
storages: 76.3 (exit)-96.9 (entry), 
terminals: 242, 
electrolyser: 141","cross-border: 96, 
storages: 76.3 (exit)-96.9 (entry), 
terminals: 242, 
electrolyser: 144.6",With this network OGE can establish connections to Norway and the Netherlands via pipeline to connect import routes to demand centers in the Ruhr area. It will also enable the connection of terminal and domestic green H2 production.,https://www.h2ercules.com/en,692459.2625,PCI,DE,,
147,Portuguese Hydrogen Backbone,"REN - Gasodutos, S.A.",New,Transmission,2032,100,No data available,No data available,No data available,"This project creates conditions for the production and integration of green H2, both in the Portuguese central interior region and in the region of Figueira da Foz. The Portuguese Hydrogen Backbone is linked with the H2Med/CelZa project",No data available,62010.5199,PCI,PT,,
148,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,69575.94459,No,IT,,
149,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,188587.062,No,IT,,
150,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,112886.7472,PCI,IT,,
153,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,41388.68451,PCI,IT,,
154,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,62513.90012,PCI,IT,,
155,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,144626.5532,PCI,IT,,
156,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,1397699.08,PCI,IT,,
157,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,155146.5421,No,IT,,
158,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,141243.0396,No,IT,,
159,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",88,88,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,220055.3406,PCI,IT,,
160,H2 Connection Italy-Slovenia,Snam Rete Gas S.p.A.,New,Transmission,2035,100,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",No data available,No data available,Connection Italian H2 Backbone to Slovenia,No data available,79362.01003,No,IT,,
161,Nordic-Baltic Hydrogen Corridor - Interconnection Finland and Estonia,Gasgrid Finland Oy,New,Transmission,2033,100,No data available,No data available,No data available,No data available,https://sites.google.com/view/nordic-baltic-hydrogencorridor/,168550.9285,PCI,FI,,
163,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,New,Transmission,2028,No data available,Pipeline from Salzgitter to Wefensleben (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,Aiming to realize a H2-pipeline between two major industrial areas Salzgitter Flachstahl and Chemical Triangle of Central Germany and the Leipzig metropolitan area in combination with large-scale storage of hydrogen in Bad Lauchstadt,https://www.ontras.com/en/hydrogen,74462.68889,No,DE,,
164,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,Conversion of existing infrastructure,Transmission,2027,No data available,"H2-pipe between areas Salzgitter, Chemical Triangle and Leipzig (incl. link to H2 storage in Bad Lauchstaedt). DE H2 core grid differs between official project promoters & official contact parties. For further insight check website of FNB Gas.",No data available,No data available,Aiming to realize a H2-pipeline between two major industrial areas Salzgitter Flachstahl and Chemical Triangle of Central Germany and the Leipzig metropolitan area in combination with large-scale storage of hydrogen in Bad Lauchstadt,https://www.ontras.com/en/hydrogen,37294.57186,No,DE,,
165,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,Mix,Transmission,2028,No data available,"H2-pipe between areas Salzgitter, Chemical Triangle and Leipzig (incl. link to H2 storage in Bad Lauchstaedt). DE H2 core grid differs between official project promoters & official contact parties. For further insight check website of FNB Gas.",No data available,No data available,Aiming to realize a H2-pipeline between two major industrial areas Salzgitter Flachstahl and Chemical Triangle of Central Germany and the Leipzig metropolitan area in combination with large-scale storage of hydrogen in Bad Lauchstadt,https://www.ontras.com/en/hydrogen,78290.98888,No,DE,,
166,Eisenhuttenstadt-Gosda,ONTRAS Gastransport GmbH,New,Transmission,2030,100,Brandenburg (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,This transmission pipeline connects the future IP Eisenhuttenstadt with consumption and production region Lausitz (South-East Brandenburg). At the same time it increases the IP capacity in Eisenhuttenstadt.,https://www.ontras.com/en/hydrogen,77900.91029,No,DE,,
167,H2 Interconnection DE-PL,GASCADE Gastransport GmbH,New,Transmission,2029,100,Brandenburg (Length : 49 km),No data available,No data available,"This project connects the FLOW (East) pipeline, that is part of Germany's hydrogen core grid, with Poland's hydrogen backbone. It enables the bi-directional transport of hydrogen to consumers, particularly in industrial centres in Poland and Germany.",https://www.flow-hydrogen.com,81715.63051,PCI,DE,,
168,Gosda-Spreetal,ONTRAS Gastransport GmbH,New,Transmission,2030,100,Brandenburg (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,This transmission pipeline connects the future IP Eisenhuttenstadt with consumption and production region Lausitz (South-East Brandenburg). At the same time it increases the IP capacity in Eisenhuttenstadt.,https://www.ontras.com/en/hydrogen,49843.00667,No,DE,,
169,Pomeranian Hydrogen Cluster,GAZ-SYSTEM S.A.,Mix,Transmission,2039,100,No data available,No data available,No data available,The project involves the construction of a nation-wide H2 grid that connects supply sources such as wind farms in northern PL and on the Baltic Sea with consumption points and industrial clusters located in the South and in other parts of PL.,https://www.gaz-system.pl/en/,946732.2115,PCI,PL,,
170,Vadu T1 pipeline modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2036,100,No data available,No data available,No data available,The project will include conversion of existing pipeline Vadu T1. The project connects a potential H2 production area with Negru Vod Isaccea corridor.,https://www.transgaz.ro/en,65513.94907,No,RO,,
171,HyPipe Bavaria - The Hydrogen Hub,bayernets GmbH,Conversion of existing infrastructure,Transmission,2030,No data available,"Pipeline from Burghausen via Munich, Ingolstadt to Ulm (5 km)",150,150,"The project establishes a H2 hub in Southern Bavaria. The project lays the foundation for the first high-performance pipeline system for green H2 in Bavaria until 2030, and includes existing repurposed infrastructure.",https://www.bayernets.de/en/,6525.618274,PCI,DE,,
172,Maritsa East hydrogen ready pipeline,Bulgartransgaz EAD,New,Transmission,2030,No data available,"Maritsa East coal region, Bulgaria",No data available,No data available,"The project involves a construction of about 125 km of new pipeline for the transportation of natural gas, H2, other low-carbon fuels and their blends in the Maritsa East coal region. The pipeline will connect to Bulgartransgaz and IGB networks.",https://www.bulgartransgaz.bg/en,149157.6495,No,BG,,
176,Doing Hydrogen,ONTRAS Gastransport GmbH,Mix,Transmission,2028,100,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"The project brings together innovative producers, gas network operators and consumers with the aim of establishing a European H2 hub in eastern DE from 2026 and, in the medium term, a H2 system with links to PL, CZ, DK and western DE.",https://www.doinghydrogen.com/,39106.35126,No,DE,,
177,Second phase of project for H2 transmission system in Bulgaria (the northern direction to Romania) ,Bulgartransgaz EAD,New,Transmission,2032,100,The project envisages the construction of an infrastructure designed to transport 100% hydrogen (H2). It will provide capacity for bi-directional cross-border transmission of hydrogen between BG and RO at a new interconnection point in Ruse/Giurgevo area,No data available,No data available,"Project for a new H2 transmission infrastructure on the territory of Bulgaria, suitable for the transmission of 100% hydrogen. The new infrastructure is a continuation of the hydrogen interconnector between BG and GR - H2 transmission system in Bulgaria.",https://www.bulgartransgaz.bg/en,401180.4912,No,BG,,
178,Retrofitting of the Bulgarian Gas Transmission System,Bulgartransgaz EAD,Conversion of existing infrastructure,Transmission,2027,10,"The project covers the entire gas-transmission infrastructure of Bulgartransgaz EAD (about 3300 km), located throughout the territory of Bulgaria, which will be suitable for up to 10% hydrogen.",5.508,5.508,The national gas transmission network of BG consists of a linear part and technical facilities. The mixing of natural gas with H2 will require modifications. The project envisages a preliminary assessment of the compatibility of the network with H2.,https://www.bulgartransgaz.bg/en,,No,BG,,
179,Smartening up the existing BG gas transmission network (SmartSwitch project),Bulgartransgaz EAD,Conversion of existing infrastructure,Transmission,2029,Hydrogen blends (10),The gas transmission infrastructure through the the country covering about 3300 km.,5.508,5.508,The project aims to upgrade the existing natural gas infrastructure with length of 3484km to allow up to 10% hydrogen to be blended into the system. The project is at the phase of a preliminary assessment of the compatibility of the network with hydrogen,https://www.bulgartransgaz.bg/en,1876578.338,PCI,BG,,
180,H2 pipeline from the Sofia region in Bulgaria to Oltenia region in Romania (Under consideration),Bulgartransgaz EAD,New,Transmission,2040,100,"Region of Sofia, Bulgaria to Oltenia region in Romania.",No data available,No data available,New H2 pipeline from the Sofia region in Bulgaria to Oltenia region in Romania. The depicted project is currently under active discussion and the available data remains unconfirmed.,https://www.bulgartransgaz.bg/en,172584.2103,No,BG,,
181,Construction of a branch to the region of Kozloduy (Under consideration),Bulgartransgaz EAD,New,Transmission,2040,100,From the northern H2 semi-ring (Sofia- Ruse) to the Bulgarian-Romanian border in the region of Kozloduy.,No data available,No data available,Construction of a branch for the transmission from the northern H2 semi-ring (Sofia-Ruse) to the Bulgarian-Romanian border in the region of Kozloduy. The project is currently under discussion and the data is not final.,https://www.bulgartransgaz.bg/en,292324.3822,No,BG,,
183,Danish Backbone West,Energinet,Mix,Transmission,2030,100,"Total project entails a pipeline from Ll. Torup connecting Esbjerg and Fredericia to DE border. However, a “Phase 1” will be constructed first (commissioning year 2030). Phase 1 covers south-western part of the total project, from Esbjerg to DE border.",No data available,No data available,Project connects potential H2 storage in Ll. Torup with Esbjerg / Fredericia & DE border. Utilisation of large Danish RE potential of H2 production in North Sea & export to DE. Project consists of Phase 1 (commissioned in 2030) & Phase 2 (no fixed date).,https://energinet.dk/brint/,556751.1187,PCI,DK,,
184,RHYn,Natran,Mix,Transmission,2030,100,Fessenheim - Ottmarsheim - Basel Airport - Marckolsheim - Tunsel (DE) - Schönenbuch (CH),26,26,"Connecting H2 production w/ industrial & mobility consumers in Fessenheim-Chalampe/ Ottmarsheim & connection to FR-DE border, extensions to Basel-Mulhouse airport & to FR-CH border (southern) & to Marckolsheim (northern). Final infrastructure ~100 km.",https://www.natrangroupe.com/en/our-energy-transition/hydrogen-transport/rhyn,147087.7578,PCI,FR,,
185,Alpine HyWay,"Open Grid Europe GmbH, Fluxys TENP",Mix,Transmission,2036 - 2046,100,Pipeline through Germany from Wallbach to Mittelbrunn (border CH->DE),cross-border: 228,cross-border: 228,This corridor will provide Southern DE with a direct import route from particular Italy and North Africa. Capacity will be offered at the existing border point of Wallbach. It consists of the extension of TENP infrastructure to transport both CH4 and H2.,No data available,674829.5298,PCI,DE/BE,,
186,H2 Backbone WAG + Penta West,Gas Connect Austria GmbH,New,Transmission,2030,100,"The pipeline connects Baumgarten, Oberkappel and Uberackern Storage location to bayernets pipeline in Bavaria",150,150,"The project aims for H2 network from AT-SK to AT-DE border. In the medium term, the project complements the RePowerEU initiative as it contributes to route diversification for the Austrian Market Area and strengthens security of supply.",https://h2backbone-wag-pw.at/en/home-english/,138529.5302,PCI,AT,,
187,WAG LOOP 1,Gas Connect Austria GmbH,Mix,Transmission,2027,100,"The pipeline connects Baumgarten, Oberkappel and Uberackern locations to bayernets pipeline in Bavaria.",No data available,No data available,The project enables bidirectional H2 transport from the AT/SK to the AT/DE border. With the project potential H2 sources could be connected to demand centers in Central Europe and to storages.,https://www.gasconnect.at/en/recent/projekte/wag-loop-1,64974.523,No,AT,,
188,H2 Backbone WAG + Penta West,Gas Connect Austria GmbH,Mix,Transmission,2030,100,"The pipeline connects Baumgarten, Oberkappel and Uberackern Storage location to bayernets pipeline in Bavaria",150,150,"The project aims for H2 network from AT-SK to AT-DE border. In the medium term, the project complements the RePowerEU initiative as it contributes to route diversification for the Austrian Market Area and strengthens security of supply.",https://h2backbone-wag-pw.at/en/home-english/,350708.4979,PCI,AT,,
189,HySoW connection to Bordeaux terminal,Terega SA,Mix,Transmission,2034,100,Lussagnet-Bordeaux,No data available,No data available,TYNDP project H2T-N-1216,https://www.terega.fr/en/hysow-hyrogen-south-west-corridor-of-france-un-projet-dinfrastructures-de,442360.6607,No,FR,,
190,Slovak Hydrogen Backbone,"eustream, a.s.",Conversion of existing infrastructure,Transmission,2029,100,No data available,"(a) at the UA/SK border – 144
(b) at the IP_SK-CZ_Lanžhot – 72
(c) at the IP_SK-AT Baumgarten – 72
","(a) at the UA/SK border – 218.4
(b) at the IP_SK-CZ_Lanžhot – 144
(c) at the IP_SK-AT Baumgarten – 144
",Slovak Hydrogen Backbone creates a corridor for transmission of H2 for needs of Slovakia & for transit from SK via CZ and/or AT to DE or other EU countries. It will connect the non-EU point at UA/SK border with IP Lanžhot & IP Baumgarten.,https://www.eustream.sk/en/,707447.744,PCI,SK,,
191,RHYn Interco (Section 1-3),"BadenovaNETZE GmbH, terranets bw",Mix,Transmission,2030,100,A pipeline from Chalampe (FR) to Bad Krozingen(DE) (Rhine Crossing); pipeline from Bad Krozingen to Freiburg; Pipeline in the area of Freiburg (distribution grid),No data available,No data available,The RHYn Interco project is to provide hydrogen for large German consumers. A part of the existing natural gas pipelines will be converted and a new Rhine undercrossing will be built to establish a connection to French hydrogen production plants.,https://www.terranets-bw.de/rhyn_interco,42613.77518,PCI,DE,,
192,RHYn Interco (Section 4-5),"BadenovaNETZE GmbH, terranets bw",Mix,Transmission,2035,100,Pipeline from Freiburg to Offenburg and further to Kehl,No data available,No data available,The RHYn Interco project is to provide hydrogen for large German consumers. A part of the existing natural gas pipelines will be converted and a new Rhine undercrossing will be built to establish a connection to French hydrogen production plants.,https://www.terranets-bw.de/rhyn_interco,93572.64717,No,DE,,
193,HU hydrogen corridor I HU/UA,FGSZ Ltd.,New,Transmission,No data available,No data available,Nemesbikk-Tiszaújváros section,No data available,No data available,Nemesbikk-Tiszaújváros section - new pipeline. ,https://fgsz.hu/en,10764.57619,No,HU,,
194,H2ercules Network South-West,Open Grid Europe GmbH; NaTran Deutschland GmbH,Mix,Transmission,2032,100,This project relates to the southwest section from the German-French border (Medelsheim) to industrial clusters in Hesse and Baden-Wuerttemberg.,cross-border: 192,cross-border: 192,With this network OGE can establish connections to France via pipeline to connect import routes to demand centers in the southern and western part of Germany.,https://www.h2ercules.com/en,803350.9882,PCI,DE,,
196,Leça Valley (transmission),"REN - Gasodutos, S.A.",New,Transmissioin,2029,100,Oporto area,No data available,No data available,100% H2 transmission project constructed mainly by repurposing exiting NG pipeline in Oporto area. I will connect  an anchor project which aggregates H2 Production (35000 ton/y) and H2 consumption (35000 ton/y) for SAF  facility.,No data available,41930.09719,No,PT,,
